Bronx Rolling Sales.  All Sales From February 2022 - January 2023,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 02/13/2023 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.         Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,2905,26,,A9,1667 WASHINGTON AVENUE,,10457,1,0,1,"4,750","3,167",1899,1,A9,"980,000",9/8/22
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3028,24,,A1,410 EAST 179TH STREET,,10457,1,0,1,"1,842","2,048",1901,1,A1,"655,000",11/1/22
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,65,,A1,4455 PARK AVENUE,,10457,1,0,1,"1,622","1,587",1899,1,A1,"520,000",10/26/22
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3037,101,,S0,443 EAST 180 STREET,,10457,1,2,3,"1,293","2,820",1952,1,S0,"720,000",2/23/22
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039,29,,A5,2327 WASHINGTON AVE,,10458,1,0,1,"1,095","1,260",1910,1,A5,"499,999",4/28/22
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039,63,,A1,469 EAST 185 STREET,,10458,1,0,1,"1,650","1,296",1910,1,A1,"599,000",5/17/22
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,38,,A1,2077 BATHGATE AVENUE,,10457,1,0,1,"2,306","1,622",1899,1,A1,"540,000",4/19/22
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3050,80,,A1,2257 BATHGATE AVENUE,,10457,1,0,1,"2,295","1,354",1901,1,A1,0,8/24/22
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3050,80,,A1,2257 BATHGATE AVENUE,,10457,1,0,1,"2,295","1,354",1901,1,A1,"600,000",4/28/22
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053,102,,A1,2329 BASSFORD AVENUE,,10458,1,0,1,918,"1,248",1901,1,A1,"17,062,000",8/23/22
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053,105,,A1,2323 BASSFORD AVENUE,,10458,1,0,1,921,"1,248",1901,1,A1,"550,000",9/7/22
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053,108,,A9,2317 BASSFORD AVENUE,,10458,1,0,1,925,"1,188",1901,1,A9,"564,000",4/6/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,118,,B1,1540 WASHINGTON AVENUE,,10457,2,0,2,"2,000","2,400",1993,1,B1,"740,000",12/14/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,119,,B1,1542 WASHINGTON AVENUE,,10457,2,0,2,"2,000","2,400",1993,1,B1,0,2/1/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,132,,B1,486 CLAREMONT PARKWAY,,10457,2,0,2,"2,000","2,400",1993,1,B1,0,4/13/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,135,,B1,492 CLAREMONT PARKWAY,,10457,2,0,2,"2,000","2,400",1993,1,B1,0,8/1/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,140,,B1,3821 3RD AVENUE,,10457,2,0,2,"2,000","2,400",1993,1,B1,"680,000",5/31/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,145,,B1,3811 3 AVENUE,,10457,2,0,2,"2,000","2,400",1993,1,B1,0,2/11/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2917,14,,B1,1846 WASHINGTON AVENUE,,10457,2,0,2,"2,943","2,076",1920,1,B1,0,4/6/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,114,,B1,3854 3RD AVENUE,,10457,2,0,2,"2,883","2,394",1995,1,B1,"525,000",6/9/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,121,,B1,1567 FULTON,,10457,2,0,2,"3,225","2,394",1995,1,B1,0,12/14/22
