Brooklyn Rolling Sales.  All Sales From February 2022 - January 2023,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 02/13/2023 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.  Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,56,,A5,30 BAY 10,,11228,1,0,1,"1,546","1,428",1930,1,A5,"75,000",6/1/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,157,,A5,36 BAY 10TH STREET,,11228,1,0,1,"1,547","1,428",1930,1,A5,0,3/18/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,48,,A9,12 BAY 13TH ST,,11214,1,0,1,"3,142","3,200",1999,1,A9,0,3/14/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,62,,A9,44 BAY 13TH STREET,,11214,1,0,1,"3,575","2,104",1901,1,A9,"990,000",10/18/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6372,34,,A9,8637 19TH AVENUE,,11214,1,0,1,"2,417","2,154",1930,1,A9,0,9/20/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373,73,,A1,50 BAY 23RD STREET,,11214,1,0,1,"2,417","1,672",1930,1,A1,0,8/18/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373,85,,A1,84 BAY 23RD STREET,,11214,1,0,1,"5,737","2,514",1935,1,A1,0,7/1/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373,85,,A1,84 BAY 23RD STREET,,11214,1,0,1,"5,738","2,514",1935,1,A1,0,4/19/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6379,42,,S1,2142 86TH STREET,,11214,1,1,2,"1,600","2,640",1925,1,S1,"2,430,000",7/27/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399,8,,S1,1653 BATH AVENUE,,11214,1,1,2,"1,260","1,440",1930,1,S1,"800,000",3/31/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399,107,,S1,1655 BATH AVENUE,,11214,1,1,2,"1,260","1,440",1930,1,S1,0,2/2/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6402,31,,A1,72 RUTHERFORD PLACE,,11214,1,0,1,"2,743","2,756",1924,1,A1,0,3/24/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6405,148,,S1,1865 BATH AVENUE,,11214,1,1,2,"1,124","1,800",1920,1,S1,"955,000",10/28/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6428,55,,A1,202 BAY 11TH STREET,,11228,1,0,1,"1,933","1,515",1920,1,A1,"830,000",2/9/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,10,,A5,235 BAY 11TH STREET,,11228,1,0,1,"1,800","1,296",1935,1,A5,"830,000",3/30/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,57,,A5,8806 16TH AVENUE,,11214,1,0,1,"1,655","1,156",1951,1,A5,"900,000",5/27/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6442,32,,S1,2014 BATH AVENUE,,11214,1,1,2,"1,245","1,596",1925,1,S1,0,7/25/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,16,,A3,8913 15TH AVENUE,,11228,1,0,1,"3,866","5,330",1935,1,A3,10,7/27/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,64,,A5,294 BAY 10TH STREET,,11228,1,0,1,"1,933","1,152",1920,1,A5,"1,099,000",10/27/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,83,,A5,303 BAY 14TH STREET,,11214,1,0,1,"1,511",928,1950,1,A5,0,4/8/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,132,,A5,314 BAY 14TH STREET,,11214,1,0,1,"1,511",992,1950,1,A5,0,3/14/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,141,,A5,1173 SHORE PARKWAY,,11214,1,0,1,"1,661","1,392",1950,1,A5,"843,000",5/19/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,194,,A5,273 BAY 14TH STREET,,11214,1,0,1,"1,795","1,152",1930,1,A5,"990,000",5/16/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,256,,A5,298 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1945,1,A5,"840,000",6/15/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,274,,A5,259 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1940,1,A5,0,4/8/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,318,,A5,312 BAY 13TH STREET,,11214,1,0,1,"1,653",928,1945,1,A5,"758,000",2/14/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,331,,A5,1131 SHORE PARKWAY,,11214,1,0,1,"2,380",986,1945,1,A5,"880,000",7/26/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,20,,S1,8820 20TH AVE,,11214,1,1,2,"2,785","2,034",1944,1,S1,0,9/6/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,78,,A5,232 BAY 23RD STREET,,11214,1,0,1,"1,980","1,320",1945,1,A5,"820,000",11/1/22
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,83,,A5,244 BAY 23RD STREET,,11214,1,0,1,"6,156","1,320",1945,1,A5,"995,000",7/14/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,8,,B1,8663 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"690,000",2/28/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,13,,B1,8649 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,340,000",12/21/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,26,,B1,8613 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"990,000",3/22/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,3,,B1,77 BAY 7TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,8/12/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,6,,B1,69 BAY 7TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,8/10/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,18,,B1,35 BAY 7TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,12/16/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,46,,B1,38 BAY 8TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,450,000",1/3/23
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,54,,B1,62 BAY 8TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,10/25/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,9,,B1,63 BAY 8TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,400,000",6/27/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,23,,B1,31 BAY 8TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,500,000",8/8/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,55,,B1,8642 15TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,250,000",1/5/23
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,5,,B1,1513 BENSON AVENUE,,11228,2,0,2,"2,142","1,920",1945,1,B1,0,11/11/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,17,,B3,8657 15TH AVENUE,,11228,2,0,2,"1,546","1,428",1930,1,B3,"950,000",1/27/23
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,20,,B3,8651 15TH AVENUE,,11228,2,0,2,"1,546","1,428",1930,1,B3,0,8/5/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,58,,B3,38 BAY 10TH STREET,,11228,2,0,2,"1,546","1,428",1930,1,B3,0,9/21/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6361,32,,B3,19 BAY 10TH STREET,,11228,2,0,2,"2,103","1,622",1930,1,B3,0,3/21/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6361,63,,B1,54 BAY 11TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,4/28/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6361,67,,B1,66 BAY 11TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,275,000",4/19/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6362,59,,B1,8640 16TH AVENUE,,11214,2,0,2,"2,272","3,135",1935,1,B1,"1,600,000",9/9/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,30,,B1,27 BAY 13TH STREET,,11214,2,0,2,"2,166","2,922",1960,1,B1,0,8/25/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,54,,B2,24 BAY 14TH STREET,,11214,2,0,2,"2,752","1,606",1930,1,B2,"880,000",8/5/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6365,59,,B1,8638 17 AVE,,11214,2,0,2,"2,763","2,400",1950,1,B1,"1,548,000",7/11/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6366,16,,B2,8659 17TH AVENUE,,11214,2,0,2,"1,933","2,880",1920,1,B2,"1,120,000",7/26/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6367,29,,B9,8633 BAY 16TH STREET,,11214,2,0,2,"2,803","3,060",1960,1,B9,"1,600,000",2/16/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6368,23,,B2,21 BAY 17TH STREET,,11214,2,0,2,"2,417","2,688",1905,1,B2,"1,280,000",4/21/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6368,45,,S2,8634 18TH AVENUE,,11214,2,1,3,"1,933","3,000",1909,1,S2,0,6/1/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6369,43,,S2,8607 18TH AVENUE,,11214,2,1,3,"1,849","3,480",1908,1,S2,0,1/12/23
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6369,62,,B1,30 BAY 19TH STREET,,11214,2,0,2,"2,040","2,032",1930,1,B1,"1,268,888",11/10/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6370,75,,B2,48 BAY 20TH STREET,,11214,2,0,2,"4,833","1,800",1920,1,B2,"1,400,000",3/29/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6371,14,,B1,91 BAY 20TH STREET,,11214,2,0,2,"1,933","1,460",1899,1,B1,"700,000",6/7/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6371,61,,B3,8624 19TH AVENUE,,11214,2,0,2,"2,417","2,106",1930,1,B3,0,8/18/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6372,4,,B2,1913 BENSON AVENUE,,11214,2,0,2,"5,663","2,321",1930,1,B2,"1,388,000",10/19/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6372,21,,B1,8671 19TH AVENUE,,11214,2,0,2,"2,513","2,598",1940,1,B1,"1,430,000",4/21/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6373,4,,B1,1937 BENSON AVE,,11214,2,0,2,"2,499","2,400",1965,1,B1,"1,425,000",10/18/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6374,64,,S2,8638 20TH AVENUE,,11214,2,1,3,"4,060","2,819",1920,1,S2,0,4/15/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6375,61,,B3,60 BAY 25TH STREET,,11214,2,0,2,"5,800","2,894",1920,1,B3,0,3/14/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6376,6,,B2,79 BAY 25TH STREET,,11214,2,0,2,"5,800","3,203",1925,1,B2,"2,060,000",1/17/23
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6376,70,,B2,64 BAY 26TH STREET,,11214,2,0,2,"2,900","2,544",1930,1,B2,0,3/10/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6391,13,,B9,8753 14TH AVENUE,,11228,2,0,2,"2,126","1,701",1950,1,B9,"1,110,000",9/13/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6391,67,,B3,142 BAY 7TH STREET,,11228,2,0,2,"1,933","1,446",1915,1,B3,0,11/9/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,1,,B3,1465 BATH AVENUE,,11228,2,0,2,"5,800","2,956",1910,1,B3,0,2/15/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,7,,B3,1457 BATH AVENUE,,11228,2,0,2,"1,933","1,410",1920,1,B3,"975,000",6/21/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,10,,B3,1449 BATH AVENUE,,11228,2,0,2,"1,933","1,410",1920,1,B3,0,10/25/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,12,,B2,149 BAY 8TH STREET,,11228,2,0,2,"5,606","2,316",1920,1,B2,0,10/25/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,15,,B3,147 BAY 8TH STREET,,11228,2,0,2,"2,126","1,714",1920,1,B3,0,10/25/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,37,,B1,93 BAY 8TH STREET,,11228,2,0,2,"2,296","2,160",1940,1,B1,"1,450,000",7/13/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,18,,B3,141 BAY 10TH STREET,,11228,2,0,2,"1,933","1,068",1925,1,B3,"1,230,000",8/18/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,24,,B2,123 BAY 10TH STREET,,11228,2,0,2,"3,866","2,248",1925,1,B2,"1,350,000",8/8/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,41,,B1,1534 BENSON AVENUE,,11228,2,0,2,"4,022","1,404",1925,1,B1,0,10/11/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,45,,B1,92 BAY 11TH STREET,,11228,2,0,2,"1,863","1,920",1935,1,B1,0,9/8/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,58,,B9,124 BAY 11TH STREET,,11228,2,0,2,"1,957","2,125",1955,1,B9,"1,375,000",7/21/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,14,,B1,149 BAY 11 STREET,,11228,2,0,2,"1,949","2,235",1965,1,B1,"1,388,000",6/23/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,25,,B1,123 BAY 11TH STREET,,11228,2,0,2,"1,933","2,176",1925,1,B1,0,11/21/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,26,,B1,121 BAY 11 STREET,,11228,2,0,2,"1,933","2,176",1925,1,B1,0,2/9/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,39,,B1,1554 BENSON AVENUE,,11228,2,0,2,"1,800","2,268",1930,1,B1,0,5/31/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,169,,B9,8748 16TH AVENUE,,11214,2,0,2,"1,933","2,160",1960,1,B9,10,10/24/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,2,,S2,1645 BATH AVENUE,,11214,2,1,3,"2,082","3,000",1935,1,S2,"739,000",9/13/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,3,,S2,1643 BATH AVENUE,,11214,2,1,3,"4,166","4,000",1926,1,S2,"1,338,000",12/27/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6399,16,,B3,147 BAY 14TH STREET,,11214,2,0,2,"3,792","1,178",1930,1,B3,"700,000",3/10/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6399,62,,B2,8726 17TH AVENUE,,11214,2,0,2,"2,085","1,816",1930,1,B2,"980,000",2/15/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6402,40,,S2,8736 18TH AVENUE,,11214,2,1,3,"1,933","3,100",1905,1,S2,"1,650,000",1/11/23
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6402,56,,B2,93 BAY 17TH ST,,11214,2,0,2,"2,288","1,842",1920,1,B2,"910,000",2/16/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6402,71,,B1,55 RUTHERFORD PLACE,,11214,2,0,2,"1,820","2,910",1992,1,B1,"1,230,000",2/25/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6408,20,,B9,109 BAY 23RD STREET,,11214,2,0,2,"2,772","2,520",1940,1,B9,"1,380,000",6/13/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6408,111,,B3,131 BAY 23RD STREET,,11214,2,0,2,"2,016","1,420",1920,1,B3,0,7/11/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6409,11,,B1,8733 20TH AVENUE,,11214,2,0,2,"1,933","2,125",1950,1,B1,0,2/28/22
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6412,19,,B2,8731 21ST AVENUE,,11214,2,0,2,"3,287","2,498",1925,1,B2,"1,500,000",5/4/22
