Manhattan Rolling Sales.  All Sales From February 2022 - January 2023,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 02/13/2023 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.                   Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,374,46,,A4,347 EAST 4TH STREET,,10009,1,0,1,"2,116","4,400",1900,1,A4,"399,000",9/29/22
1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,372,36,,S2,19 AVENUE D,,10009,2,1,3,825,"2,481",1900,1,S2,1,1/20/23
1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,377,1,,S2,110 AVENUE C,,10009,2,1,3,"1,502","2,790",1901,1,S2,"2,999,999",9/15/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,373,16,,C1,326 EAST 4TH STREET,,10009,10,0,10,"2,204","8,625",1899,2,C1,"16,800,000",8/4/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,373,17,,C1,328 EAST 4TH STREET,,10009,10,0,10,"2,204","8,625",1900,2,C1,"16,800,000",8/4/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,54,,C4,"719 EAST SIXTH STREET, 1B",,10009,20,0,20,"2,302","9,750",1900,2,C4,"158,822",9/27/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,377,52,,C2,271 EAST 7TH STREET,,10009,5,0,5,"2,168","3,728",1900,2,C2,0,8/5/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,377,52,,C2,271 EAST 7TH STREET,,10009,5,0,5,"2,169","3,728",1900,2,C2,0,5/10/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,379,25,,C7,"434 EAST 10TH STREET, 4",,10009,7,1,8,"4,337","14,347",1920,2,C7,"1,635,000",8/5/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,389,45,,C4,631 EAST 6TH STREET,,10009,10,0,10,"2,271","6,985",1900,2,C4,"5,250,000",6/16/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,389,47,,C4,627 EAST 6TH STREET,,10009,10,0,10,"2,248","6,985",1910,2,C4,"5,650,000",3/30/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,390,50,,C1,"209 EAST 7 STREET, 5W",,10009,29,0,29,"3,900","18,099",1900,2,C1,"235,251",6/22/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,392,33,,C7,"155 AVENUE C, 4A",,10009,17,1,18,"1,909","8,441",1900,2,C7,0,8/22/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,393,37,,C7,"167 AVENUE C, 3B",,10009,8,2,10,"1,920","7,485",1920,2,C7,"21,919",5/4/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,396,26,,C4,638 EAST 14TH STREET,,10009,20,0,20,"2,778","10,740",1920,2,C4,"11,800,000",6/9/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,396,27,,C4,640 EAST 14TH STREET,,10009,20,0,20,"2,831","10,900",1920,2,C4,"11,800,000",6/9/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,397,38,,C7,6 AVENUE B,,10009,10,1,11,"1,818","7,995",1900,2,C7,"1,050,000",1/27/23
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,399,47,,C7,181 EAST 3RD STREET,,10009,32,3,35,"7,460","19,600",1900,2,C7,0,3/25/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,400,39,,C7,235 EAST 4TH STREET,,10009,30,2,32,"4,807","24,506",1920,2,C7,0,9/30/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,400,50,,C7,213 EAST 4TH STREET,,10009,28,1,29,"4,592","18,781",1900,2,C7,0,9/30/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,401,54,,C4,519 E 5TH STREET,,10009,18,0,18,"2,425","6,890",1900,2,C4,0,9/23/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,402,25,,C4,162 EAST 7TH STREET,,10009,14,0,14,"2,271","6,794",1900,2,C4,"22,000,000",8/23/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402,55,,C4,"521 EAST 6TH STREET, 4",,10009,10,0,10,"2,271","7,229",1900,2,C4,"999,000",2/18/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,405,33,,C4,188 AVENUE B,,10009,4,1,5,"1,810","4,280",1930,2,C4,"8,430,003",6/24/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,405,34,,C4,186 AVENUE B,,10009,8,2,10,"2,715","7,340",1930,2,C4,"8,430,003",6/24/22
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,406,56,,C7,517 EAST 12TH STREET,,10009,16,2,18,"2,581","7,230",1900,2,C7,0,1/18/23
