Queens Rolling Sales.  All Sales From February 2022 - January 2023,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 02/13/2023 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.         Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,34,,A5,19-48 81ST STREET,,11370,1,0,1,"1,799","1,224",1945,1,A5,"864,195",7/15/22
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,37,,A5,19-54 81ST STREET,,11370,1,0,1,"1,799","1,224",1945,1,A5,"815,000",6/24/22
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,55,,A5,21-33 80TH STREET,,11370,1,0,1,"1,799","1,224",1950,1,A5,"830,000",9/23/22
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,60,,A5,21-23 80TH STREET,,11370,1,0,1,"1,800","1,224",1950,1,A5,"900,000",2/8/22
4,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS,1,949,56,,C0,19-69 80TH STREET,,11370,3,0,3,"2,000","2,835",1945,1,C0,0,3/8/22
4,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS,1,949,56,,C0,19-69 80TH STREET,,11370,3,0,3,"2,000","2,835",1945,1,C0,0,4/12/22
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1017,,R2,"19-17 80TH STREET, 1",1,11370,1,,1,,,,2,R2,"335,000",11/9/22
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1022,,R2,"19-13 80TH STREET, 2",2,11370,1,,1,,,,2,R2,"630,000",7/26/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,5,,A6,40-10 ROCKAWAY BEACH BLVD,,11691,1,0,1,"1,593",482,1920,1,A6,0,1/30/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,5,,A6,40-10 ROCKAWAY BEACH BLVD,,11691,1,0,1,"1,594",482,1920,1,A6,"195,000",2/3/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,8,,A5,4016 ROCKAWAY BEACH BOULEVARD,,11691,1,0,1,"3,231","1,520",2005,1,A5,"585,000",7/27/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,48,,A5,335 BEACH 40 STREET,,11691,1,0,1,"2,245","1,350",2005,1,A5,0,7/1/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15833,47,,A5,341 BEACH 42ND STREET,,11691,1,0,1,"2,850","1,332",2006,1,A5,"549,999",9/23/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,57,,A5,329 BEACH 43RD,,11691,1,0,1,"2,228","1,476",2006,1,A5,"315,000",4/15/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,57,,A5,329 BEACH 43RD ST,,11691,1,0,1,"2,228","1,476",2006,1,A5,"600,000",11/7/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15835,63,,A2,337 BEACH 44TH STREET,,11691,1,0,1,"3,431","2,268",1920,1,A2,0,5/25/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15837,27,,A2,354 BEACH 46 STREET,,11691,1,0,1,"3,804","2,304",1925,1,A2,"190,000",8/19/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15837,56,,A1,335 BEACH 45TH STREET,,11691,1,0,1,"2,470","1,048",1925,1,A1,"505,000",3/11/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15839,64,,A2,311 BEACH 47 STREET,,11691,1,0,1,"2,853","2,080",1920,1,A2,0,8/24/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15849,22,,A6,40-01 ROCKAWAY BEACH BLVD,,11691,1,0,1,"2,626",618,1920,1,A6,"542,000",3/1/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15850,30,,A6,206 BEACH 42 STREET,,11691,1,0,1,"2,000",560,1920,1,A6,"375,000",9/23/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15905,47,,A5,123 BEACH 62ND STREET,,11692,1,0,1,"4,413","2,626",2014,1,A5,"1,138,000",10/14/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15908,16,,A0,63-07 BEACH CHANNEL DRIVE,,11692,1,0,1,"4,000","1,020",1950,1,A0,0,3/31/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15954,82,,A5,403 BEACH 37,,11691,1,0,1,"2,896","1,502",2008,1,A5,"540,000",3/9/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15960,8,,A1,410 BEACH 43 STREET,,11691,1,0,1,"2,252",866,2018,1,A1,"146,138",11/9/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15960,57,,A6,510 BEACH 43RD,,11691,1,0,1,"1,657",468,1920,1,A6,"87,500",2/25/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15962,88,,A1,515 BEACH 43 STREET,,11691,1,0,1,"1,351","1,496",1920,1,A1,"579,000",9/30/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15965,91,,A2,461 BEACH 43 STREET,,11691,1,0,1,"2,513","1,920",1899,1,A2,0,3/31/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15969,51,,A1,457 BEACH 46 STREET,,11691,1,0,1,"2,377","1,664",2004,1,A1,"700,000",8/9/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15972,62,,A1,401 BEACH 47 STREET,,11691,1,0,1,"3,604","1,464",1915,1,A1,0,5/6/22
