Staten Island Rolling Sales.  All Sales From February 2022 - January 2023,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 02/13/2023 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.         Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,7,,A5,4732 AMBOY ROAD,,10312,1,0,1,"3,654",910,2002,1,A5,"764,000",6/30/22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,4,,A1,26 EDWIN STREET,,10312,1,0,1,"7,654","2,277",1980,1,A1,"1,098,000",8/19/22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,32,,A1,541 SYCAMORE STREET,,10312,1,0,1,"13,320","4,696",1985,1,A1,0,4/20/22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,36,,A1,107 NOEL STREET,,10312,1,0,1,"5,999","3,250",1989,1,A1,"1,050,000",8/31/22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407,6,,A1,118 ELMBANK STREET,,10312,1,0,1,"6,200","2,580",1975,1,A1,"910,000",4/5/22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5408,7,,A2,192 BATHGATE STREET,,10312,1,0,1,"2,500",768,1930,1,A2,"430,000",5/16/22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,31,,A1,7 SANDGAP STREET,,10312,1,0,1,"2,500","1,222",1925,1,A1,0,5/23/22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5426,16,,A6,14 SANDGAP STREET,,10312,1,0,1,"2,499",612,1915,1,A6,"250,000",12/21/22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,63,,A5,26 SEGUINE PLACE,,10312,1,0,1,"2,266","1,320",1986,1,A5,"548,888",6/9/22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,121,,A5,32 MAY PLACE,,10312,1,0,1,"2,474","2,495",1986,1,A5,"760,000",11/10/22
